disease,model,run,llm_n,overlap_panther,overlap_enrichr,overlap_gprofiler,overlap_union,union_size,jaccard_union,recall_union
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run078,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run078,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run079,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run079,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run079,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run079,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run079,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run079,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run080,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run080,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run080,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run080,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run080,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run080,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run081,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run081,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run081,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run081,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run081,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run081,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run082,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run082,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run082,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run082,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run082,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run082,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run083,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run083,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run083,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run083,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run083,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run083,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run084,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run084,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run084,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run084,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run084,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run084,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run085,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run085,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run085,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run085,9,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run085,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run085,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run086,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run086,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run086,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run086,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run086,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run086,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run087,10,0,0,1,1,18,0.037,0.056
hereditary_cancer,groq-gpt-oss-120b,groq-gpt-oss-120b-run087,10,3,2,1,3,21,0.107,0.143
hypertrophic_cardiomyopathy,groq-gpt-oss-120b,groq-gpt-oss-120b-run087,10,0,0,0,0,22,0.000,0.000
parkinsons_disease,groq-gpt-oss-120b,groq-gpt-oss-120b-run087,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-gpt-oss-120b,groq-gpt-oss-120b-run087,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-gpt-oss-120b,groq-gpt-oss-120b-run087,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run001,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run001,10,0,0,0,0,21,0.000,0.000
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run001,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run001,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run001,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run001,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run002,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run002,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run002,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run002,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run002,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run002,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run003,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run003,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run003,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run003,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run003,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run003,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run004,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run004,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run004,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run004,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run004,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run004,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run005,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run005,10,0,0,0,0,21,0.000,0.000
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run005,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run005,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run005,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run005,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run006,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run006,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run006,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run006,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run006,10,1,0,1,1,22,0.032,0.045
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run006,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run007,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run007,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run007,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run007,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run007,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run007,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run008,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run008,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run008,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run008,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run008,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run008,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run009,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run009,10,0,0,0,0,21,0.000,0.000
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run009,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run009,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run009,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run009,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run010,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run010,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run010,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run010,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run010,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run010,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run011,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run011,10,0,0,0,0,21,0.000,0.000
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run011,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run011,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run011,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run011,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run012,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run012,10,0,0,0,0,21,0.000,0.000
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run012,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run012,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run012,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run012,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run013,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run013,10,0,0,0,0,21,0.000,0.000
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run013,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run013,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run013,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run013,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run014,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run014,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run014,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run014,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run014,10,1,0,1,1,22,0.032,0.045
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run014,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run015,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run015,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run015,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run015,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run015,10,1,0,1,1,22,0.032,0.045
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run015,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run016,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run016,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run016,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run016,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run016,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run016,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run017,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run017,10,0,0,0,0,21,0.000,0.000
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run017,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run017,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run017,10,1,0,1,1,22,0.032,0.045
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run017,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run018,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run018,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run018,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run018,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run018,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run018,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run019,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run019,10,0,0,0,0,21,0.000,0.000
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run019,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run019,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run019,10,1,0,1,1,22,0.032,0.045
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run019,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run020,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run020,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run020,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run020,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run020,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run020,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run021,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run021,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run021,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run021,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run021,10,1,0,1,1,22,0.032,0.045
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run021,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run022,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run022,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run022,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run022,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run022,10,1,0,1,1,22,0.032,0.045
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run022,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run023,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run023,10,0,0,0,0,21,0.000,0.000
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run023,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run023,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run023,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run023,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run024,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run024,10,0,0,0,0,21,0.000,0.000
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run024,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run024,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run024,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run024,10,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run025,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run025,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run025,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run025,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run025,10,1,0,1,1,22,0.032,0.045
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run025,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run033,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run033,10,0,0,0,0,21,0.000,0.000
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run033,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run033,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run033,10,1,0,1,1,22,0.032,0.045
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run033,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run034,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run034,10,0,0,0,0,21,0.000,0.000
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run034,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run034,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run034,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run034,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run035,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run035,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run035,10,1,0,0,1,22,0.032,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run035,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run035,10,1,0,1,1,22,0.032,0.045
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run035,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run036,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run036,10,0,0,0,0,21,0.000,0.000
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run036,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run036,10,0,0,0,0,19,0.000,0.000
primary_immunodeficiency,groq-qwen3.8-27b,groq-qwen3.8-27b-run036,10,0,0,0,0,22,0.000,0.000
type2_diabetes,groq-qwen3.8-27b,groq-qwen3.8-27b-run036,4,0,0,0,0,23,0.000,0.000
alzheimers_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run037,10,0,0,0,0,18,0.000,0.000
hereditary_cancer,groq-qwen3.8-27b,groq-qwen3.8-27b-run037,10,0,1,0,1,21,0.033,0.048
hypertrophic_cardiomyopathy,groq-qwen3.8-27b,groq-qwen3.8-27b-run037,9,1,0,0,1,22,0.033,0.045
parkinsons_disease,groq-qwen3.8-27b,groq-qwen3.8-27b-run037,10,0,0,0,0,19,0.000,0.000
