model,disease,run,llm_n,kept,dropped,coverage,zero_kept
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run025,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run026,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run026,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run026,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run026,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run026,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run026,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run027,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run027,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run027,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run027,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run027,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run027,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run028,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run028,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run028,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run028,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run028,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run028,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run029,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run029,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run029,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run029,9,2,7,0.222,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run029,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run029,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run030,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run030,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run030,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run030,9,2,7,0.222,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run030,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run030,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run031,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run031,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run031,10,6,4,0.600,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run031,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run031,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run031,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run032,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run032,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run032,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run032,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run032,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run032,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run033,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run033,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run033,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run033,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run033,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run033,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run034,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run034,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run034,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run034,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run034,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run034,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run035,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run035,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run035,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run035,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run035,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run035,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run036,10,3,7,0.300,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run036,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run036,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run036,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run036,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run036,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run037,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run037,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run037,10,3,7,0.300,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run037,10,2,8,0.200,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run037,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run037,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run038,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run038,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run038,10,6,4,0.600,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run038,10,3,7,0.300,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run038,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run038,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run039,10,4,6,0.400,0
groq-gpt-oss-120b,hereditary_cancer,groq-gpt-oss-120b-run039,10,5,5,0.500,0
groq-gpt-oss-120b,hypertrophic_cardiomyopathy,groq-gpt-oss-120b-run039,10,5,5,0.500,0
groq-gpt-oss-120b,parkinsons_disease,groq-gpt-oss-120b-run039,9,2,7,0.222,0
groq-gpt-oss-120b,primary_immunodeficiency,groq-gpt-oss-120b-run039,10,6,4,0.600,0
groq-gpt-oss-120b,type2_diabetes,groq-gpt-oss-120b-run039,10,0,10,0.000,1
groq-gpt-oss-120b,alzheimers_disease,groq-gpt-oss-120b-run040,10,4,6,0.400,0
