disease,backend,rank,term_id,label,fdr
parkinsons_disease,g:Profiler,3,GO:0006914,autophagy,7.137494414967107e-09
parkinsons_disease,g:Profiler,4,GO:0061919,process utilizing autophagic mechanism,7.137494414967107e-09
parkinsons_disease,g:Profiler,5,GO:0062197,cellular response to chemical stress,1.3838473560785041e-08
parkinsons_disease,g:Profiler,6,GO:0006979,response to oxidative stress,5.1467342715332867e-08
parkinsons_disease,g:Profiler,7,GO:1903377,negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,9.535242020557685e-08
parkinsons_disease,g:Profiler,8,GO:0016241,regulation of macroautophagy,1.8499625666200074e-07
parkinsons_disease,g:Profiler,9,GO:0042176,regulation of protein catabolic process,4.0246665093397066e-07
parkinsons_disease,g:Profiler,10,GO:1903146,regulation of autophagy of mitochondrion,4.1343224084128185e-07
primary_immunodeficiency,PANTHER,1,GO:0002376,immune system process,6.302621925695855e-16
primary_immunodeficiency,PANTHER,2,GO:0046649,lymphocyte activation,2.608984790061683e-13
primary_immunodeficiency,PANTHER,3,GO:0045321,leukocyte activation,3.89953305102827e-12
primary_immunodeficiency,PANTHER,4,GO:0001775,cell activation,3.3373083194730614e-11
primary_immunodeficiency,PANTHER,5,GO:0030098,lymphocyte differentiation,3.8078744951214405e-11
primary_immunodeficiency,PANTHER,6,GO:0006955,immune response,5.095213110153245e-11
primary_immunodeficiency,PANTHER,7,GO:0042110,T cell activation,1.8314250593855916e-10
primary_immunodeficiency,PANTHER,8,GO:0002682,regulation of immune system process,2.003899789275889e-10
primary_immunodeficiency,PANTHER,9,GO:1903131,mononuclear cell differentiation,2.313620749545837e-10
primary_immunodeficiency,PANTHER,10,GO:0002521,leukocyte differentiation,9.452781520926132e-10
primary_immunodeficiency,Enrichr,1,GO:0033151,V(D)J Recombination,5.235708199391349e-10
primary_immunodeficiency,Enrichr,2,GO:0030217,T Cell Differentiation,4.4111269985404284e-07
primary_immunodeficiency,Enrichr,3,GO:0042554,Superoxide Anion Generation,8.485954616638433e-07
primary_immunodeficiency,Enrichr,4,GO:0033152,Immunoglobulin V(D)J Recombination,1.5800157943520125e-06
primary_immunodeficiency,Enrichr,5,GO:0030098,Lymphocyte Differentiation,2.0078043587676084e-06
primary_immunodeficiency,Enrichr,6,GO:0038110,Interleukin-2-Mediated Signaling Pathway,2.0078043587676084e-06
primary_immunodeficiency,Enrichr,7,GO:0038111,Interleukin-7-Mediated Signaling Pathway,2.0078043587676084e-06
primary_immunodeficiency,Enrichr,8,GO:0038113,Interleukin-9-Mediated Signaling Pathway,2.0078043587676084e-06
primary_immunodeficiency,Enrichr,9,GO:0071352,Cellular Response to Interleukin-2,2.0078043587676084e-06
primary_immunodeficiency,Enrichr,10,GO:0098761,Cellular Response to Interleukin-7,2.0078043587676084e-06
primary_immunodeficiency,g:Profiler,1,KEGG:05340,Primary immunodeficiency,9.543966708344708e-20
primary_immunodeficiency,g:Profiler,2,GO:0002376,immune system process,2.266500986565883e-13
primary_immunodeficiency,g:Profiler,3,GO:0030098,lymphocyte differentiation,1.6068100175676407e-12
primary_immunodeficiency,g:Profiler,4,GO:0046649,lymphocyte activation,6.7177808959974966e-12
primary_immunodeficiency,g:Profiler,5,GO:0030097,hemopoiesis,1.7505749154787837e-11
primary_immunodeficiency,g:Profiler,6,GO:1903131,mononuclear cell differentiation,1.7795446182123222e-11
primary_immunodeficiency,g:Profiler,7,GO:0006955,immune response,3.2070365130536774e-11
primary_immunodeficiency,g:Profiler,8,GO:0045321,leukocyte activation,1.1058088812163148e-10
primary_immunodeficiency,g:Profiler,9,GO:0002521,leukocyte differentiation,1.813800904223485e-10
primary_immunodeficiency,g:Profiler,10,KEGG:04659,Th17 cell differentiation,1.9474711030311814e-10
type2_diabetes,PANTHER,1,GO:0010817,regulation of hormone levels,5.409887221856234e-05
type2_diabetes,PANTHER,2,GO:0070201,regulation of establishment of protein localization,0.00011699872353954367
type2_diabetes,PANTHER,3,GO:0046883,regulation of hormone secretion,0.0001375756286571014
type2_diabetes,PANTHER,4,GO:0051223,regulation of protein transport,0.00014174325585504847
type2_diabetes,PANTHER,5,GO:0050708,regulation of protein secretion,0.00016606569102358174
type2_diabetes,PANTHER,6,GO:0050796,regulation of insulin secretion,0.00038657518217532393
type2_diabetes,PANTHER,7,GO:0065008,regulation of biological quality,0.00044291535551254664
type2_diabetes,PANTHER,8,GO:0051046,regulation of secretion,0.0004653831904530658
type2_diabetes,PANTHER,9,GO:0042592,homeostatic process,0.0004998392496001713
type2_diabetes,PANTHER,10,GO:0090087,regulation of peptide transport,0.0006286980163040559
type2_diabetes,Enrichr,1,GO:0050796,Regulation of Insulin Secretion,7.867092744452993e-06
type2_diabetes,Enrichr,2,GO:0000079,Regulation of Cyclin-Dependent Protein Serine/Threonine Kinase Activity,1.8073432723581463e-05
type2_diabetes,Enrichr,3,GO:0042593,Glucose Homeostasis,0.00020106250198560608
type2_diabetes,Enrichr,4,GO:1901142,Insulin Metabolic Process,0.0032933595255500224
type2_diabetes,Enrichr,5,GO:0050714,Positive Regulation of Protein Secretion,0.0032933595255500224
type2_diabetes,Enrichr,6,GO:0034393,Positive Regulation of Smooth Muscle Cell Apoptotic Process,0.0032933595255500224
type2_diabetes,Enrichr,7,GO:1902679,Negative Regulation of RNA Biosynthetic Process,0.0032933595255500224
type2_diabetes,Enrichr,8,GO:0045736,Negative Regulation of Cyclin-Dependent Protein Serine/Threonine Kinase Activity,0.003663081445812663
type2_diabetes,Enrichr,9,GO:1904030,Negative Regulation of Cyclin-Dependent Protein Kinase Activity,0.004378513080376586
type2_diabetes,Enrichr,10,GO:0031016,Pancreas Development,0.004501217492076396
type2_diabetes,g:Profiler,1,GO:0046883,regulation of hormone secretion,1.8872724547544407e-05
type2_diabetes,g:Profiler,2,GO:0051223,regulation of protein transport,2.243042227260459e-05
type2_diabetes,g:Profiler,3,GO:0050708,regulation of protein secretion,2.8317499286084102e-05
type2_diabetes,g:Profiler,4,GO:0046879,hormone secretion,3.656184877805607e-05
type2_diabetes,g:Profiler,5,GO:0009914,hormone transport,4.811437317269953e-05
type2_diabetes,g:Profiler,6,GO:0070201,regulation of establishment of protein localization,4.982627436651647e-05
type2_diabetes,g:Profiler,7,GO:0010817,regulation of hormone levels,6.025530521319516e-05
type2_diabetes,g:Profiler,8,GO:0050796,regulation of insulin secretion,8.392744412410659e-05
type2_diabetes,g:Profiler,9,GO:0009306,protein secretion,0.00014928091086250663
type2_diabetes,g:Profiler,10,GO:0071692,protein localization to extracellular region,0.0001529700627116061
